duration,src_bytes,dst_bytes,wrong_fragment,urgent,hot,num_failed_logins,num_compromised,count,srv_count,dst_host_count,dst_host_srv_count,logged_in,label
0,181,5450,0,0,0,0,0,8,8,150,25,1,normal
0,239,486,0,0,0,0,0,8,8,255,25,1,normal
0,235,1337,0,0,0,0,0,8,8,255,25,1,normal
0,219,1337,0,0,0,0,0,6,6,255,25,1,normal
0,217,2032,0,0,0,0,0,6,6,255,25,1,normal
0,0,0,0,0,0,0,0,511,511,255,255,0,attack
0,0,0,0,0,0,0,0,400,390,255,255,0,attack
0,1032,0,0,0,2,3,15,120,100,255,80,0,attack
2,5000,200,0,0,5,2,10,300,250,255,200,0,attack
3,10000,0,0,0,8,5,30,450,400,255,255,0,attack
1,1200,300,0,0,1,0,2,50,45,180,60,1,normal
2,1300,250,0,0,1,1,1,55,47,175,65,1,normal
1,9000,50,0,0,6,4,22,410,380,255,240,0,attack
4,8700,100,0,0,7,4,18,390,360,255,200,0,attack
1,950,280,0,0,0,0,0,52,48,170,70,1,normal
